Per Tar Summary:
2310_104: .gz = 0, .pdf = 0
0203_001: .gz = 1453, .pdf = 1453
2308_063: .gz = 0, .pdf = 0
1901_005: .gz = 329, .pdf = 329
2204_040: .gz = 0, .pdf = 0
2405_102: .gz = 0, .pdf = 0
2210_046: .gz = 0, .pdf = 0
2409_105: .gz = 0, .pdf = 0
1909_039: .gz = 100, .pdf = 100
2012_067: .gz = 0, .pdf = 0
1908_016: .gz = 239, .pdf = 239
2410_001: .gz = 111, .pdf = 111
1910_016: .gz = 165, .pdf = 165
1910_029: .gz = 185, .pdf = 185
2303_019: .gz = 0, .pdf = 0
2103_077: .gz = 0, .pdf = 0
2112_080: .gz = 0, .pdf = 0
1403_010: .gz = 0, .pdf = 0
1306_011: .gz = 0, .pdf = 0
2105_025: .gz = 0, .pdf = 0
2410_038: .gz = 0, .pdf = 0
2409_089: .gz = 0, .pdf = 0
1809_032: .gz = 0, .pdf = 0
2007_009: .gz = 157, .pdf = 157
2307_082: .gz = 0, .pdf = 0
1902_029: .gz = 0, .pdf = 0
2108_045: .gz = 0, .pdf = 0
1810_036: .gz = 0, .pdf = 0
1709_027: .gz = 0, .pdf = 0
2301_010: .gz = 0, .pdf = 0
1912_016: .gz = 151, .pdf = 151
2411_097: .gz = 0, .pdf = 0
1511_014: .gz = 2, .pdf = 2
2404_041: .gz = 0, .pdf = 0
2406_043: .gz = 0, .pdf = 0
1611_013: .gz = 0, .pdf = 0
2007_052: .gz = 0, .pdf = 0
1905_011: .gz = 130, .pdf = 130
1405_006: .gz = 89, .pdf = 89
1807_012: .gz = 58, .pdf = 58
2108_011: .gz = 0, .pdf = 0
1704_006: .gz = 226, .pdf = 226
2312_077: .gz = 0, .pdf = 0
2203_046: .gz = 0, .pdf = 0
2310_082: .gz = 0, .pdf = 0
0306_001: .gz = 1372, .pdf = 1372
2212_063: .gz = 0, .pdf = 0
1609_021: .gz = 0, .pdf = 0
2407_035: .gz = 0, .pdf = 0
2010_001: .gz = 159, .pdf = 159
2411_108: .gz = 0, .pdf = 0
2111_066: .gz = 0, .pdf = 0
2309_097: .gz = 0, .pdf = 0
1508_015: .gz = 0, .pdf = 0
1812_003: .gz = 205, .pdf = 205
2207_041: .gz = 0, .pdf = 0
2202_037: .gz = 0, .pdf = 0
2111_005: .gz = 0, .pdf = 0
1909_027: .gz = 219, .pdf = 219
1606_020: .gz = 0, .pdf = 0
2405_001: .gz = 104, .pdf = 104
2402_046: .gz = 0, .pdf = 0
0406_001: .gz = 1171, .pdf = 1171
2406_117: .gz = 0, .pdf = 0
1810_032: .gz = 0, .pdf = 0
2409_036: .gz = 0, .pdf = 0
2001_035: .gz = 208, .pdf = 208
1203_005: .gz = 56, .pdf = 56
2211_042: .gz = 0, .pdf = 0
2103_055: .gz = 0, .pdf = 0
2103_048: .gz = 0, .pdf = 0
1110_009: .gz = 0, .pdf = 0
1901_003: .gz = 245, .pdf = 245
2311_117: .gz = 0, .pdf = 0
2405_038: .gz = 0, .pdf = 0
1606_007: .gz = 253, .pdf = 253
2102_015: .gz = 0, .pdf = 0
2105_067: .gz = 0, .pdf = 0
1209_001: .gz = 557, .pdf = 557
1904_003: .gz = 259, .pdf = 259
2312_121: .gz = 0, .pdf = 0
2107_055: .gz = 0, .pdf = 0
2107_048: .gz = 0, .pdf = 0
1901_018: .gz = 21, .pdf = 21
2401_009: .gz = 0, .pdf = 0
2205_041: .gz = 0, .pdf = 0
0004_001: .gz = 1840, .pdf = 1840
1707_023: .gz = 0, .pdf = 0
1904_018: .gz = 111, .pdf = 111
1906_011: .gz = 143, .pdf = 143
1903_031: .gz = 0, .pdf = 0
1809_012: .gz = 11, .pdf = 11
2304_052: .gz = 0, .pdf = 0
1505_001: .gz = 431, .pdf = 431
0710_002: .gz = 285, .pdf = 285
2109_015: .gz = 0, .pdf = 0
1603_019: .gz = 0, .pdf = 0
2206_054: .gz = 0, .pdf = 0
2210_041: .gz = 0, .pdf = 0
1011_002: .gz = 611, .pdf = 611
1201_004: .gz = 190, .pdf = 190
1908_030: .gz = 182, .pdf = 182
2210_035: .gz = 0, .pdf = 0
9207_001: .gz = 292, .pdf = 292
1910_030: .gz = 183, .pdf = 183
0802_003: .gz = 0, .pdf = 0
2301_046: .gz = 0, .pdf = 0
1706_016: .gz = 0, .pdf = 0
1908_022: .gz = 225, .pdf = 225
2312_055: .gz = 0, .pdf = 0
1910_022: .gz = 209, .pdf = 209
2202_014: .gz = 0, .pdf = 0
2312_048: .gz = 0, .pdf = 0
1911_024: .gz = 172, .pdf = 172
2106_009: .gz = 0, .pdf = 0
1301_005: .gz = 278, .pdf = 278
0104_001: .gz = 1609, .pdf = 1609
2004_049: .gz = 215, .pdf = 215
2204_021: .gz = 0, .pdf = 0
1907_034: .gz = 0, .pdf = 0
1104_005: .gz = 0, .pdf = 0
2303_010: .gz = 0, .pdf = 0
1903_013: .gz = 170, .pdf = 170
2108_070: .gz = 0, .pdf = 0
2410_122: .gz = 0, .pdf = 0
1409_009: .gz = 0, .pdf = 0
1502_012: .gz = 0, .pdf = 0
2106_052: .gz = 0, .pdf = 0
1902_022: .gz = 0, .pdf = 0
1912_030: .gz = 67, .pdf = 67
2408_088: .gz = 0, .pdf = 0
2306_094: .gz = 0, .pdf = 0
2408_015: .gz = 0, .pdf = 0
1401_010: .gz = 0, .pdf = 0
1907_020: .gz = 0, .pdf = 0
2103_045: .gz = 0, .pdf = 0
2410_064: .gz = 0, .pdf = 0
2108_058: .gz = 0, .pdf = 0
2410_079: .gz = 0, .pdf = 0
2107_045: .gz = 0, .pdf = 0
2409_032: .gz = 0, .pdf = 0
2303_028: .gz = 0, .pdf = 0
2406_054: .gz = 0, .pdf = 0
2305_082: .gz = 0, .pdf = 0
2409_102: .gz = 0, .pdf = 0
1801_024: .gz = 0, .pdf = 0
1907_007: .gz = 195, .pdf = 195
2303_076: .gz = 0, .pdf = 0
2311_054: .gz = 0, .pdf = 0
1612_004: .gz = 308, .pdf = 308
1512_002: .gz = 321, .pdf = 321
2103_011: .gz = 0, .pdf = 0
2112_008: .gz = 0, .pdf = 0
2203_041: .gz = 0, .pdf = 0
2201_049: .gz = 0, .pdf = 0
